Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.37399573069398795
75% Corpus,5,symmetric,0.61,0.39581975600700403
75% Corpus,5,symmetric,0.9099999999999999,0.4025406442806411
75% Corpus,5,symmetric,symmetric,0.36713113687382104
75% Corpus,5,asymmetric,0.01,0.37241054604271506
75% Corpus,5,asymmetric,0.31,0.4073289843921044
75% Corpus,5,asymmetric,0.61,0.41482922317902593
75% Corpus,5,asymmetric,0.9099999999999999,0.43807297766891384
75% Corpus,5,asymmetric,symmetric,0.39551131508867454
75% Corpus,6,0.01,0.01,0.40356309294215226
75% Corpus,6,0.01,0.31,0.3899854488042927
75% Corpus,6,0.01,0.61,0.39283974251223874
75% Corpus,6,0.01,0.9099999999999999,0.4077364270459803
75% Corpus,6,0.01,symmetric,0.3931491743795504
75% Corpus,6,0.31,0.01,0.3694206771769269
75% Corpus,6,0.31,0.31,0.37721496360866685
75% Corpus,6,0.31,0.61,0.3670219801859084
75% Corpus,6,0.31,0.9099999999999999,0.38423249582442914
75% Corpus,6,0.31,symmetric,0.3622774982093882
75% Corpus,6,0.61,0.01,0.3798014655689812
75% Corpus,6,0.61,0.31,0.3748698971814189
75% Corpus,6,0.61,0.61,0.3767143523467545
75% Corpus,6,0.61,0.9099999999999999,0.36495819854396244
75% Corpus,6,0.61,symmetric,0.37708733308827275
75% Corpus,6,0.9099999999999999,0.01,0.382510955400904
75% Corpus,6,0.9099999999999999,0.31,0.3783969088140564
75% Corpus,6,0.9099999999999999,0.61,0.3855775609491416
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.35032622881295383
75% Corpus,6,0.9099999999999999,symmetric,0.39507784383710015
75% Corpus,6,symmetric,0.01,0.39998819754485165
75% Corpus,6,symmetric,0.31,0.39668737163818807
75% Corpus,6,symmetric,0.61,0.3942316111310513
75% Corpus,6,symmetric,0.9099999999999999,0.41204548696095517
75% Corpus,6,symmetric,symmetric,0.39614961598403925
75% Corpus,6,asymmetric,0.01,0.327748139005975
75% Corpus,6,asymmetric,0.31,0.4283304097083372
75% Corpus,6,asymmetric,0.61,0.4666299533493188
75% Corpus,6,asymmetric,0.9099999999999999,0.4847998503753672
75% Corpus,6,asymmetric,symmetric,0.39187740957071737
75% Corpus,7,0.01,0.01,0.3748120141607178
75% Corpus,7,0.01,0.31,0.3946799310277989
75% Corpus,7,0.01,0.61,0.421480451509232
75% Corpus,7,0.01,0.9099999999999999,0.43752899688312735
75% Corpus,7,0.01,symmetric,0.3663777178905031
75% Corpus,7,0.31,0.01,0.36588936249560094
75% Corpus,7,0.31,0.31,0.34141816142689524
75% Corpus,7,0.31,0.61,0.36267863374763293
75% Corpus,7,0.31,0.9099999999999999,0.4061143011939233
75% Corpus,7,0.31,symmetric,0.36577975311234345
75% Corpus,7,0.61,0.01,0.34982989916464297
75% Corpus,7,0.61,0.31,0.3576127808088099
75% Corpus,7,0.61,0.61,0.3545179460258601
75% Corpus,7,0.61,0.9099999999999999,0.3689296271439321
75% Corpus,7,0.61,symmetric,0.3519484185013157
75% Corpus,7,0.9099999999999999,0.01,0.35422582323412916
75% Corpus,7,0.9099999999999999,0.31,0.3641452734947595
75% Corpus,7,0.9099999999999999,0.61,0.35439503945330514
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3624102984478966
75% Corpus,7,0.9099999999999999,symmetric,0.37641900471040785
75% Corpus,7,symmetric,0.01,0.3667763362237603
75% Corpus,7,symmetric,0.31,0.3808352678661275
75% Corpus,7,symmetric,0.61,0.4222602616875604
75% Corpus,7,symmetric,0.9099999999999999,0.4258015054898024
75% Corpus,7,symmetric,symmetric,0.36476393501727217
75% Corpus,7,asymmetric,0.01,0.35734084794398646
75% Corpus,7,asymmetric,0.31,0.4308097549869046
75% Corpus,7,asymmetric,0.61,0.4485371577504071
75% Corpus,7,asymmetric,0.9099999999999999,0.4744738403152211
75% Corpus,7,asymmetric,symmetric,0.40747425617469357
75% Corpus,8,0.01,0.01,0.3993218216734722
75% Corpus,8,0.01,0.31,0.4181029716728867
75% Corpus,8,0.01,0.61,0.458748605919042
75% Corpus,8,0.01,0.9099999999999999,0.4654415962285632
75% Corpus,8,0.01,symmetric,0.39931272843164384
75% Corpus,8,0.31,0.01,0.3261617653019506
75% Corpus,8,0.31,0.31,0.3409638707647463
75% Corpus,8,0.31,0.61,0.38454709933175246
75% Corpus,8,0.31,0.9099999999999999,0.39538393227649415
75% Corpus,8,0.31,symmetric,0.3463716110209674
75% Corpus,8,0.61,0.01,0.35567547353715256
75% Corpus,8,0.61,0.31,0.36267010861437954
75% Corpus,8,0.61,0.61,0.3718471485767286
75% Corpus,8,0.61,0.9099999999999999,0.39425202895602257
75% Corpus,8,0.61,symmetric,0.3647398003550192
75% Corpus,8,0.9099999999999999,0.01,0.34985714807849444
75% Corpus,8,0.9099999999999999,0.31,0.3741088538189172
75% Corpus,8,0.9099999999999999,0.61,0.38005072733179146
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3656938439589996
75% Corpus,8,0.9099999999999999,symmetric,0.374412248415733
75% Corpus,8,symmetric,0.01,0.4040991135826192
75% Corpus,8,symmetric,0.31,0.41328147171884666
75% Corpus,8,symmetric,0.61,0.42744037697004067
75% Corpus,8,symmetric,0.9099999999999999,0.4765595738886758
75% Corpus,8,symmetric,symmetric,0.40488520144644635
75% Corpus,8,asymmetric,0.01,0.35620737677319175
75% Corpus,8,asymmetric,0.31,0.4502831767766333
75% Corpus,8,asymmetric,0.61,0.5178146828319085
75% Corpus,8,asymmetric,0.9099999999999999,0.48764622957604614
75% Corpus,8,asymmetric,symmetric,0.3997273616665123
75% Corpus,9,0.01,0.01,0.3580141154434
75% Corpus,9,0.01,0.31,0.40272347824882593
75% Corpus,9,0.01,0.61,0.46510017625474603
75% Corpus,9,0.01,0.9099999999999999,0.47481621375917915
75% Corpus,9,0.01,symmetric,0.38194462746698676
75% Corpus,9,0.31,0.01,0.33240458233599124
75% Corpus,9,0.31,0.31,0.3578350938989484
75% Corpus,9,0.31,0.61,0.40279353954142494
75% Corpus,9,0.31,0.9099999999999999,0.4366587151771524
75% Corpus,9,0.31,symmetric,0.3273913102147574
75% Corpus,9,0.61,0.01,0.35294509688918113
75% Corpus,9,0.61,0.31,0.3773506613067654
75% Corpus,9,0.61,0.61,0.4011251480688881
75% Corpus,9,0.61,0.9099999999999999,0.41611900751910297
75% Corpus,9,0.61,symmetric,0.3519991827755671
75% Corpus,9,0.9099999999999999,0.01,0.3483086856005937
75% Corpus,9,0.9099999999999999,0.31,0.367582444546259
75% Corpus,9,0.9099999999999999,0.61,0.3769720168557073
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4237019579520289
75% Corpus,9,0.9099999999999999,symmetric,0.3483191302760167
75% Corpus,9,symmetric,0.01,0.35715686289453963
75% Corpus,9,symmetric,0.31,0.3839925604168383
75% Corpus,9,symmetric,0.61,0.4314998986000344
75% Corpus,9,symmetric,0.9099999999999999,0.4690881474900277
75% Corpus,9,symmetric,symmetric,0.37451053226288916
75% Corpus,9,asymmetric,0.01,0.3587960725960618
75% Corpus,9,asymmetric,0.31,0.4538676561624948
75% Corpus,9,asymmetric,0.61,0.5103577223346187
75% Corpus,9,asymmetric,0.9099999999999999,0.5135167511376887
75% Corpus,9,asymmetric,symmetric,0.41116002231546234
75% Corpus,10,0.01,0.01,0.38856182336160827
75% Corpus,10,0.01,0.31,0.4386707399028693
75% Corpus,10,0.01,0.61,0.4964861752343407
75% Corpus,10,0.01,0.9099999999999999,0.4610218340703665
75% Corpus,10,0.01,symmetric,0.41707327561449725
75% Corpus,10,0.31,0.01,0.33469401800971027
75% Corpus,10,0.31,0.31,0.37364280985882437
75% Corpus,10,0.31,0.61,0.42652229631457317
75% Corpus,10,0.31,0.9099999999999999,0.464192320499051
75% Corpus,10,0.31,symmetric,0.34550572899802584
75% Corpus,10,0.61,0.01,0.336050427420427
75% Corpus,10,0.61,0.31,0.36967753951514176
75% Corpus,10,0.61,0.61,0.3981906421128081
75% Corpus,10,0.61,0.9099999999999999,0.42830946929725666
75% Corpus,10,0.61,symmetric,0.34149460574004764
75% Corpus,10,0.9099999999999999,0.01,0.3191462220431539
75% Corpus,10,0.9099999999999999,0.31,0.35501182024269223
75% Corpus,10,0.9099999999999999,0.61,0.3834018871301903
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4538243799346701
75% Corpus,10,0.9099999999999999,symmetric,0.3357972204702324
75% Corpus,10,symmetric,0.01,0.36194476846323725
75% Corpus,10,symmetric,0.31,0.42625284060371865
75% Corpus,10,symmetric,0.61,0.4979466593036249
75% Corpus,10,symmetric,0.9099999999999999,0.48672110629192716
75% Corpus,10,symmetric,symmetric,0.3779356454071525
75% Corpus,10,asymmetric,0.01,0.36006245441709894
75% Corpus,10,asymmetric,0.31,0.46464172210073895
75% Corpus,10,asymmetric,0.61,0.5302145452966168
75% Corpus,10,asymmetric,0.9099999999999999,0.4851514393933991
75% Corpus,10,asymmetric,symmetric,0.3954292638314135
100% Corpus,2,0.01,0.01,0.39803564648095935
100% Corpus,2,0.01,0.31,0.4139410321075195
100% Corpus,2,0.01,0.61,0.3934700689539206
100% Corpus,2,0.01,0.9099999999999999,0.39347006895392067
100% Corpus,2,0.01,symmetric,0.40457198088169954
100% Corpus,2,0.31,0.01,0.4009574246106694
100% Corpus,2,0.31,0.31,0.39518161728090223
100% Corpus,2,0.31,0.61,0.3960426514244971
100% Corpus,2,0.31,0.9099999999999999,0.40850233994962426
100% Corpus,2,0.31,symmetric,0.3911350040134244
100% Corpus,2,0.61,0.01,0.40402064263518844
100% Corpus,2,0.61,0.31,0.4036530916164186
100% Corpus,2,0.61,0.61,0.40402479472130526
100% Corpus,2,0.61,0.9099999999999999,0.39604265142449707
100% Corpus,2,0.61,symmetric,0.4048200698587246
100% Corpus,2,0.9099999999999999,0.01,0.4050523492570296
100% Corpus,2,0.9099999999999999,0.31,0.40705502381582137
100% Corpus,2,0.9099999999999999,0.61,0.406851746882684
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.40052585210284963
100% Corpus,2,0.9099999999999999,symmetric,0.406851746882684
100% Corpus,2,symmetric,0.01,0.4181447024051307
100% Corpus,2,symmetric,0.31,0.397660386536697
100% Corpus,2,symmetric,0.61,0.4047518064083916
100% Corpus,2,symmetric,0.9099999999999999,0.39604265142449707
100% Corpus,2,symmetric,symmetric,0.4047518064083916
100% Corpus,2,asymmetric,0.01,0.4042776903392755
100% Corpus,2,asymmetric,0.31,0.3644069411982376
100% Corpus,2,asymmetric,0.61,0.3607163914393403
100% Corpus,2,asymmetric,0.9099999999999999,0.32936309889610316
100% Corpus,2,asymmetric,symmetric,0.38063637182745236
100% Corpus,3,0.01,0.01,0.4269726413895629
100% Corpus,3,0.01,0.31,0.372467130582598
100% Corpus,3,0.01,0.61,0.36315565863278804
100% Corpus,3,0.01,0.9099999999999999,0.36189141488746907
100% Corpus,3,0.01,symmetric,0.36698393177156374
100% Corpus,3,0.31,0.01,0.41190020000478
100% Corpus,3,0.31,0.31,0.38165438517331457
100% Corpus,3,0.31,0.61,0.36683760437125806
100% Corpus,3,0.31,0.9099999999999999,0.36332530131991686
100% Corpus,3,0.31,symmetric,0.3821101302812447
100% Corpus,3,0.61,0.01,0.383626919675465
100% Corpus,3,0.61,0.31,0.3850377601538446
100% Corpus,3,0.61,0.61,0.3888078819717926
100% Corpus,3,0.61,0.9099999999999999,0.38690190645329486
100% Corpus,3,0.61,symmetric,0.3872038471101675
100% Corpus,3,0.9099999999999999,0.01,0.3754549912218623
100% Corpus,3,0.9099999999999999,0.31,0.39309031650597054
100% Corpus,3,0.9099999999999999,0.61,0.39531456022020856
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.38180630430716045
100% Corpus,3,0.9099999999999999,symmetric,0.39309031650597054
100% Corpus,3,symmetric,0.01,0.4133297608404653
100% Corpus,3,symmetric,0.31,0.3790275825244423
100% Corpus,3,symmetric,0.61,0.37133309303781475
100% Corpus,3,symmetric,0.9099999999999999,0.3591647015327098
100% Corpus,3,symmetric,symmetric,0.3790275825244424
100% Corpus,3,asymmetric,0.01,0.38616469765728395
100% Corpus,3,asymmetric,0.31,0.33886386372359517
100% Corpus,3,asymmetric,0.61,0.44320404150159015
100% Corpus,3,asymmetric,0.9099999999999999,0.4939141216966627
100% Corpus,3,asymmetric,symmetric,0.3423051570488506
100% Corpus,4,0.01,0.01,0.42259777664748277
100% Corpus,4,0.01,0.31,0.3940040610242925
100% Corpus,4,0.01,0.61,0.4182077050103403
100% Corpus,4,0.01,0.9099999999999999,0.3731296690808602
100% Corpus,4,0.01,symmetric,0.39752231209034106
100% Corpus,4,0.31,0.01,0.398597610575926
100% Corpus,4,0.31,0.31,0.40824395102352096
100% Corpus,4,0.31,0.61,0.40647515203886253
100% Corpus,4,0.31,0.9099999999999999,0.39966969816186726
100% Corpus,4,0.31,symmetric,0.4159024544768872
100% Corpus,4,0.61,0.01,0.405489965300895
100% Corpus,4,0.61,0.31,0.40414730768870977
100% Corpus,4,0.61,0.61,0.4246513292165134
100% Corpus,4,0.61,0.9099999999999999,0.41345856551978244
100% Corpus,4,0.61,symmetric,0.40000487154377196
100% Corpus,4,0.9099999999999999,0.01,0.3929502212580202
100% Corpus,4,0.9099999999999999,0.31,0.40371476847034077
100% Corpus,4,0.9099999999999999,0.61,0.4185548430306145
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4299598292266946
100% Corpus,4,0.9099999999999999,symmetric,0.4015690594372503
100% Corpus,4,symmetric,0.01,0.4297863231030087
100% Corpus,4,symmetric,0.31,0.41522040621066486
100% Corpus,4,symmetric,0.61,0.40978598640745145
100% Corpus,4,symmetric,0.9099999999999999,0.4093160868582195
100% Corpus,4,symmetric,symmetric,0.40879476491639594
100% Corpus,4,asymmetric,0.01,0.38775152082206416
100% Corpus,4,asymmetric,0.31,0.3652849308812418
100% Corpus,4,asymmetric,0.61,0.37747357955785743
100% Corpus,4,asymmetric,0.9099999999999999,0.40592692939263586
100% Corpus,4,asymmetric,symmetric,0.3521730796904046
100% Corpus,5,0.01,0.01,0.35750020234227015
100% Corpus,5,0.01,0.31,0.35874958906202287
100% Corpus,5,0.01,0.61,0.3901428777755181
100% Corpus,5,0.01,0.9099999999999999,0.4237718013425253
100% Corpus,5,0.01,symmetric,0.35965222355559207
100% Corpus,5,0.31,0.01,0.410421061830438
100% Corpus,5,0.31,0.31,0.3789712285655034
100% Corpus,5,0.31,0.61,0.38040343443627345
100% Corpus,5,0.31,0.9099999999999999,0.3896499442633921
100% Corpus,5,0.31,symmetric,0.3766570967010917
100% Corpus,5,0.61,0.01,0.37761497606449845
100% Corpus,5,0.61,0.31,0.3902066291880682
100% Corpus,5,0.61,0.61,0.3972377214031808
100% Corpus,5,0.61,0.9099999999999999,0.3700141569769201
100% Corpus,5,0.61,symmetric,0.38563146222024564
100% Corpus,5,0.9099999999999999,0.01,0.37712454193816447
100% Corpus,5,0.9099999999999999,0.31,0.3971034285931081
100% Corpus,5,0.9099999999999999,0.61,0.39942520208826726
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.37569016972060854
100% Corpus,5,0.9099999999999999,symmetric,0.39953995729617464
100% Corpus,5,symmetric,0.01,0.38519090369967224
100% Corpus,5,symmetric,0.31,0.3640811337641377
100% Corpus,5,symmetric,0.61,0.389061561935898
100% Corpus,5,symmetric,0.9099999999999999,0.3927420367896941
100% Corpus,5,symmetric,symmetric,0.36133667097100197
100% Corpus,5,asymmetric,0.01,0.3600497980603063
100% Corpus,5,asymmetric,0.31,0.38979915954769406
100% Corpus,5,asymmetric,0.61,0.42863499927906046
100% Corpus,5,asymmetric,0.9099999999999999,0.398821501812608
100% Corpus,5,asymmetric,symmetric,0.3937259298476225
100% Corpus,6,0.01,0.01,0.3711271587563572
100% Corpus,6,0.01,0.31,0.4131313314823754
100% Corpus,6,0.01,0.61,0.4250834221497371
100% Corpus,6,0.01,0.9099999999999999,0.413463257878482
100% Corpus,6,0.01,symmetric,0.36999739438442286
100% Corpus,6,0.31,0.01,0.3721105226427708
100% Corpus,6,0.31,0.31,0.37048545069041144
100% Corpus,6,0.31,0.61,0.3560380436315271
100% Corpus,6,0.31,0.9099999999999999,0.3672464370960055
100% Corpus,6,0.31,symmetric,0.3797830078299714
100% Corpus,6,0.61,0.01,0.37756854844041204
100% Corpus,6,0.61,0.31,0.3989449548437765
100% Corpus,6,0.61,0.61,0.3844724092494947
100% Corpus,6,0.61,0.9099999999999999,0.37044601764336554
100% Corpus,6,0.61,symmetric,0.4007906522832043
100% Corpus,6,0.9099999999999999,0.01,0.3715820604520925
100% Corpus,6,0.9099999999999999,0.31,0.40100631521303626
100% Corpus,6,0.9099999999999999,0.61,0.3828465045989298
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.38247856976138245
100% Corpus,6,0.9099999999999999,symmetric,0.38900438200765647
100% Corpus,6,symmetric,0.01,0.38369501157944225
100% Corpus,6,symmetric,0.31,0.3988556744956382
100% Corpus,6,symmetric,0.61,0.421991689566874
100% Corpus,6,symmetric,0.9099999999999999,0.4223664433070426
100% Corpus,6,symmetric,symmetric,0.38591828133267075
100% Corpus,6,asymmetric,0.01,0.3373963224186262
100% Corpus,6,asymmetric,0.31,0.4070836705846097
100% Corpus,6,asymmetric,0.61,0.4348988173424828
100% Corpus,6,asymmetric,0.9099999999999999,0.4302340419498234
100% Corpus,6,asymmetric,symmetric,0.35571110692676555
100% Corpus,7,0.01,0.01,0.3804555081275531
100% Corpus,7,0.01,0.31,0.3958071584421002
100% Corpus,7,0.01,0.61,0.4233106491772692
100% Corpus,7,0.01,0.9099999999999999,0.4403412791367019
100% Corpus,7,0.01,symmetric,0.36029879925102953
100% Corpus,7,0.31,0.01,0.34894855056084034
100% Corpus,7,0.31,0.31,0.37240302607018533
100% Corpus,7,0.31,0.61,0.37240759049385536
100% Corpus,7,0.31,0.9099999999999999,0.37393910576293987
100% Corpus,7,0.31,symmetric,0.3587545566104039
100% Corpus,7,0.61,0.01,0.383895325965045
100% Corpus,7,0.61,0.31,0.3761225250402816
100% Corpus,7,0.61,0.61,0.33924476349113997
100% Corpus,7,0.61,0.9099999999999999,0.3578680407166454
100% Corpus,7,0.61,symmetric,0.380812862941884
100% Corpus,7,0.9099999999999999,0.01,0.39546816535605
100% Corpus,7,0.9099999999999999,0.31,0.36645991678261985
100% Corpus,7,0.9099999999999999,0.61,0.3682980737774068
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.35670165782293217
100% Corpus,7,0.9099999999999999,symmetric,0.37900411248306415
100% Corpus,7,symmetric,0.01,0.37096480151780764
100% Corpus,7,symmetric,0.31,0.3791675748283842
100% Corpus,7,symmetric,0.61,0.38623314650390256
100% Corpus,7,symmetric,0.9099999999999999,0.4393685077899825
100% Corpus,7,symmetric,symmetric,0.3623290208574507
100% Corpus,7,asymmetric,0.01,0.3578750840232451
100% Corpus,7,asymmetric,0.31,0.4015975626364708
100% Corpus,7,asymmetric,0.61,0.4326986262348739
100% Corpus,7,asymmetric,0.9099999999999999,0.4040919427413389
100% Corpus,7,asymmetric,symmetric,0.3846339725937557
100% Corpus,8,0.01,0.01,0.39992516859020455
100% Corpus,8,0.01,0.31,0.41255795703221804
100% Corpus,8,0.01,0.61,0.4266880107233034
100% Corpus,8,0.01,0.9099999999999999,0.46201879081912356
100% Corpus,8,0.01,symmetric,0.4144638218990292
100% Corpus,8,0.31,0.01,0.34987946542062387
100% Corpus,8,0.31,0.31,0.37261306261888694
100% Corpus,8,0.31,0.61,0.36596421446509364
100% Corpus,8,0.31,0.9099999999999999,0.37523481000443876
100% Corpus,8,0.31,symmetric,0.3743177349263923
100% Corpus,8,0.61,0.01,0.3620577231948778
100% Corpus,8,0.61,0.31,0.3523417213183506
100% Corpus,8,0.61,0.61,0.36635214879376615
100% Corpus,8,0.61,0.9099999999999999,0.38808647983388356
100% Corpus,8,0.61,symmetric,0.34519220186013566
100% Corpus,8,0.9099999999999999,0.01,0.35636990146401337
100% Corpus,8,0.9099999999999999,0.31,0.3733392297661976
100% Corpus,8,0.9099999999999999,0.61,0.35297125162537424
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3662290487485244
100% Corpus,8,0.9099999999999999,symmetric,0.3660761257793692
100% Corpus,8,symmetric,0.01,0.4095032805792511
100% Corpus,8,symmetric,0.31,0.4056323444651928
100% Corpus,8,symmetric,0.61,0.4551023716906262
100% Corpus,8,symmetric,0.9099999999999999,0.44740784194285355
100% Corpus,8,symmetric,symmetric,0.4264045334704316
100% Corpus,8,asymmetric,0.01,0.35769451413330233
100% Corpus,8,asymmetric,0.31,0.4370083229255831
100% Corpus,8,asymmetric,0.61,0.502477848766968
100% Corpus,8,asymmetric,0.9099999999999999,0.47865540901053755
100% Corpus,8,asymmetric,symmetric,0.41256518882445814
100% Corpus,9,0.01,0.01,0.36827377330675554
100% Corpus,9,0.01,0.31,0.3945356279950874
100% Corpus,9,0.01,0.61,0.4206012579624813
100% Corpus,9,0.01,0.9099999999999999,0.49294109760211835
100% Corpus,9,0.01,symmetric,0.3785175506688208
100% Corpus,9,0.31,0.01,0.32485212173724204
100% Corpus,9,0.31,0.31,0.35362186562322684
100% Corpus,9,0.31,0.61,0.38465831281686913
100% Corpus,9,0.31,0.9099999999999999,0.4171919922831334
